produit	plateforme(s)	categorie	prix marche EUR	competitors_type	sells_in_search	sells_in_shopping	legal_eu	defendabilite niche	distinct_sources	score broyeur	decision	rejete par (hard filter)	flags	raison de rejet	angle/notes
Station electrique portable LiFePO4 1024 Wh	amazon_movers	portable_power	799	semi_brands	true	true	true	partial	1	54	reject		margin_ratio_missing	margin_ratio_missing	Autonomie camping/travaux/coupure sans groupe electrogene. Signal Amazon et presse shopping sur EcoFlow/Bluetti; prix marche 499-999 EUR. Sources: https://www.amazon.fr/station-energie-portative/s?k=station+energie+portative | https://www.lesnumeriques.com/divers-electromenager/amazon-flash-prime-la-station-electrique-portable-ecoflow-delta-2-passe-sous-les-500-n243596.html
Tapis laine tufte XXL motif geometrique Neo Deco	pinterest_trends	home_decoration	650	semi_brands	true	true	true	partial	1	54	reject		margin_ratio_missing	margin_ratio_missing	Piece forte art deco pour salon sans changer les meubles. Pinterest Neo Deco: chevrons, chrome/laiton, retour art deco. Prix marche tapis laine XXL 500-1000 EUR. Source: https://newsroom.pinterest.com/en-gb/news/pinterest-predicts-nonconformity-self-preservation-and-escapism-drive-21-trends-for-2026/
Abri velo securise metal 4 a 6 velos	europages	outdoor_storage	950	few_or_none	true	true	true	yes	1	52	reject		margin_ratio_missing	margin_ratio_missing	Proteger les velos electriques sans construire un garage. Signal Europages France Abris; prix marche abris velos securises 700-1400 EUR. Sources: https://www.europages.fr/entreprises/abris%20pour%20v%C3%A9los.html | https://www.europages.fr/entreprises/fabrication-de-velos.html
Porte de garage sectionnelle motorisee 254 x 218 cm	cdiscount	home_renovation	924	dropshippers_mixed	true	true	true	partial	1	52	reject		margin_ratio_missing	margin_ratio_missing	Remplacer une porte de garage vieillissante sans devis opaque. Cdiscount NORIA motorisee a 923,99 EUR; marche kit 850-1500 EUR. Sources: https://www.cdiscount.com/bricolage/r-porte%2Bde%2Bgarage%2Bbasculante%2Bmanuelle.html | https://www.cdiscount.com/bricolage/r-porte%2Bde%2Bgarage%2Bbattante.html
Projecteur LED chantier telescopique sur batterie	amazon_movers	workshop_lighting	250	dropshippers_mixed	true	true	true	partial	1	52	reject		margin_ratio_missing	margin_ratio_missing	Eclairage mobile puissant pour travaux, garage et renovation. Signal Amazon Bricolage; prix marche 200-350 EUR. Source: https://www.amazon.fr/gp/movers-and-shakers/hi
Station meteo WiFi pro avec anemometre et pluviometre	amazon_movers	garden_weather	260	dropshippers_mixed	true	true	true	partial	1	52	reject		margin_ratio_missing	margin_ratio_missing	Suivi meteo local pour jardin, potager et maison. Signal Amazon Jardin/Maison; prix marche stations WiFi completes 200-350 EUR. Source: https://www.amazon.fr/gp/movers-and-shakers/lawn-garden
Banquette cuir capitonnee Art Deco	pinterest_trends	home_furniture	920	semi_brands	true	true	true	yes	1	51	reject		margin_ratio_missing	margin_ratio_missing	Assise statement pour entree, salon ou restaurant boutique. Pinterest Neo Deco: leather banquette +35%. Prix marche banquettes cuir/design 700-1400 EUR. Source: https://newsroom.pinterest.com/en-gb/news/pinterest-predicts-nonconformity-self-preservation-and-escapism-drive-21-trends-for-2026/
Planche d'equilibre surf indoor bois premium	flippa	sports_training	220	dropshippers_mixed	true	true	true	partial	1	51	reject		margin_ratio_missing	margin_ratio_missing	S'entrainer surf/snow chez soi avec objet deco sportif. Flippa sports/outdoor eCommerce signale 990k$ revenue; prix marche balance boards premium 180-350 EUR. Source: https://flippa.com/buy/categories/sports-and-outdoor
Cache climatisation exterieure aluminium design	cdiscount	home_exterior	260	dropshippers_mixed	true	true	true	partial	1	49	reject		margin_ratio_missing	margin_ratio_missing	Cacher l'unite exterieure tout en gardant la ventilation. Signal Cdiscount maison/jardin; prix marche caches clim 200-400 EUR. Source: https://www.cdiscount.com/jardin/
Deshydrateur alimentaire inox 10 a 12 plateaux	vevor	commercial_kitchen_equipment	360	dropshippers_mixed	true	true	true	partial	1	49	reject		margin_ratio_missing	margin_ratio_missing	Sechage maison/pro pour fruits, viande et friandises animaux. Signal VEVOR dehydrateur 10/12 plateaux; prix marche 250-500 EUR. Sources: https://www.vevor.fr/deshydrateur-alimentaire-commercial-c_10678/vevor-deshydrateur-alimentaire-sechoir-electrique-1000-w-10-plateaux-pour-fruits-p_010614084859 | https://www.vevor.fr/deshydrateur-alimentaire-commercial-c_10678/vevor-deshydrateur-alimentaire-rotatif-electrique-800-w-12-plateaux-pour-fruits-p_010363063612
Machine a denuder electrique cables cuivre 1,5-32 mm	vevor	recycling_equipment	390	few_or_none	true	true	true	yes	1	49	reject		margin_ratio_missing	margin_ratio_missing	Rentabiliser le recyclage cuivre en atelier. VEVOR best-seller a 269,90 EUR; marche FR 300-600 EUR. Source: https://www.vevor.fr/best-sellers?page=4
Motorisation portail coulissant solaire 600 kg	cdiscount	home_security_access	360	dropshippers_mixed	true	true	true	partial	1	49	reject		margin_ratio_missing	margin_ratio_missing	Automatiser un portail sans tirer une ligne electrique. Signal Cdiscount bricolage motorisation; prix marche kits solaires 300-600 EUR. Source: https://www.cdiscount.com/bricolage/motorisation/
Store banne motorise demi-coffre 4 x 3 m	cdiscount	garden_shade	842	dropshippers_mixed	true	true	true	partial	1	49	reject		margin_ratio_missing	margin_ratio_missing	Creer une terrasse ombragee sans pergola lourde. Cdiscount affiche variantes motorisees 842,50 EUR et coffre integral 1431,55 EUR. Source: https://www.cdiscount.com/jardin/r-store%2Bbanne%2Bmanuel%2Bavec%2Bcoffre%2B4m.html
Table d'examen veterinaire electrique compacte	europages	pet_professional_equipment	1250	few_or_none	true	false	true	yes	1	49	reject		margin_ratio_missing	margin_ratio_missing	Equiper toiletteurs/veterinaires independants avec un achat direct. Signal Europages equipement pro/sante animale; prix marche tables electriques 900-1800 EUR. Source: https://www.europages.fr/entreprises/equipements.html
Detecteur radon connecte domestique longue duree	amazon_movers	home_safety	210	few_or_none	true	true	true	yes	1	48	reject		margin_ratio_missing	margin_ratio_missing	Mesurer un risque invisible dans les maisons anciennes. Signal Amazon Maison/Bricolage; prix marche detecteurs radon connectes 180-300 EUR. Source: https://www.amazon.fr/gp/movers-and-shakers/hi
Porte d'entree aluminium triple vitrage sur mesure	europages	home_renovation	1500	semi_brands	true	true	true	yes	1	48	reject		margin_ratio_missing	margin_ratio_missing	Renover l'entree pour isolation, securite et valeur maison. Signal Europages EURADIF/RS Concept; prix marche 1200-2000 EUR hors pose. Sources: https://www.europages.fr/entreprises/france/lille%20et%20nord-pas-de-calais/agencement-sur-mesure-en-bois.html | https://www.europages.fr/entreprises/anthracite.html
Fauteuil oeuf suspendu double en osier synthetique	bigbuy	garden_seating	520	semi_brands	true	true	true	partial	1	46	reject		margin_ratio_missing	margin_ratio_missing	Coin lecture/terrasse cocon sans meuble de jardin banal. Signal BigBuy Garden via Bixoto/Carrefour; prix marche observe 400-650 EUR. Sources: https://bixoto.com/fr/p/bigbuy-garden-fauteuil-de-jardin-suspendu-osier-marron-95-x-195-cm-s7912290 | https://www.carrefour.fr/p/fauteuil-de-jardin-suspendu-dido-noir-81-x-64-x-111-5-cm-8424346273614
Robot lave-vitre avec pulverisation 4 directions	cdiscount	home_cleaning	199	dropshippers_mixed	true	true	true	partial	1	45	reject		margin_ratio_missing	margin_ratio_missing	Nettoyer baies vitrees et veranda sans monter sur escabeau. Cdiscount LIECTROUX S11 compare a 199 EUR, vendu 119 EUR. Sources: https://www.cdiscount.com/maison/r-materiel%2Bde%2Bnettoyage.html | https://www.cdiscount.com/maison/r-vitre%2Bplexiglass.html
Salon de jardin aluminium et corde 6 places DKD	bigbuy	garden_furniture	1310	semi_brands	true	true	true	partial	1	44	reject		margin_ratio_missing	margin_ratio_missing	Salon exterieur premium style hotel pour terrasse familiale. Signal BigBuy/DKD Home Decor; prix marche observe 1200-1600 EUR. Source: https://bigbuy-home-and-decor.myshopify.com/collections/garden-and-terrace/products/table-set-with-chairs-dkd-home-decor-beige-78-cm-163-x-95-x-6-cm
Hamac suspendu XL avec barre et support premium	bigbuy	garden_relaxation	190	dropshippers_mixed	true	true	true	commodity	1	41	reject		margin_ratio_missing	margin_ratio_missing	Detente balcon/jardin facile a installer. Signal BigBuy Outdoor/Cdiscount; prix marche observe 168-220 EUR. Source: https://www.cdiscount.com/jardin/mobilier-de-jardin/bigbuy-outdoor-hamac-suspendu/f-1631610-big1732950018897.html
Table de cuisine camping pliante aluminium avec rangement	amazon_movers	camping_furniture	220	dropshippers_mixed	true	true	true	partial	1	38	reject		margin_ratio_missing	margin_ratio_missing	Cuisine propre et organisee en camping familial. Signal Amazon Sports/Jardin estival; prix marche cuisines pliantes 180-300 EUR. Source: https://www.amazon.fr/gp/movers-and-shakers/lawn-garden
Ventilateur de plafond DC silencieux avec luminaire 132 cm	amazon_movers	home_cooling	180	dropshippers_mixed	true	true	true	partial	1	38	reject		margin_ratio_missing	margin_ratio_missing	Rafraichir une chambre sans clim ni bruit. Signal Amazon top ventes/canicule; prix marche premium 150-260 EUR. Sources: https://www.bfmtv.com/pratique/maison/au-top-des-ventes-amazon-ce-ventilateur-de-plafond-avec-lumiere-marque-un-tournant-en-cette-periode-de-canicule_AB-202606250018.html | https://www.amazon.fr/ventilateur-plafond/s?k=ventilateur+plafond
Sac de couchage quilt ultralight duvet 0 C	flippa	outdoor_gear	320	semi_brands	true	true	true	partial	1	37	reject		margin_ratio_missing	margin_ratio_missing	Materiel bivouac leger pour randonneurs qui veulent dormir chaud. Flippa inventory holding premium outdoor gear 800k$+ lifetime revenue; prix marche quilts duvet 250-500 EUR. Source: https://flippa.com/buy/sitetype/inventory-holding
