produit	plateforme(s)	categorie	prix marche EUR	competitors_type	sells_in_search	sells_in_shopping	legal_eu	defendabilite niche	distinct_sources	score broyeur	decision	rejete par hard filter	flags	raison de rejet	angle/notes	sources URLs	recommandation	fichier source	doublon retire
Lit de massage pliable portable professionnel	dotmarket	wellness	389	dropshippers_weak_sites	true	true	true	partial	1	61	review		margin_ratio_missing	score 61 - potentiel moyen a confirmer	Bien-etre maison - audience 35-60 ans CSP+ - Shopping + Search		à creuser après validation	ideas.xlsx	
Spa gonflable jacuzzi 4-6 places rond	amazon_movers	garden	449	dropshippers_mixed	true	true	true	partial	2	61	review		margin_ratio_missing	score 61 - potentiel moyen a confirmer	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire		à creuser après validation	ideas.xlsx	
Tableau mural fine art grand format personnalisable	flippa	wall_art	350	dropshippers_weak_sites	true	true	true	partial	1	61	review		margin_ratio_missing	margin_ratio_missing	Piece deco emotionnelle grand format avec personnalisation	Flippa signale home decor/fine art eCommerce 50k$ revenue et 64% profit margin; prix marche grands formats 250-600 EUR. Source: https://flippa.com/buy/categories/home-and-garden		ideas (1).xlsx	
Trottinette electrique adulte 50km autonomie pro	dotmarket	outdoor	720	dropshippers_mixed	true	true	true	commodity	1	61	review		margin_ratio_missing	commodity - disponible partout	Loisirs outdoor - Search + Shopping - saisonnier risque		rejet évident	ideas.xlsx	
Cloison acoustique mobile design pour bureau maison	flippa	home_acoustics	520	few_or_none	true	true	true	yes	1	60	review		margin_ratio_missing	margin_ratio_missing	Separer et calmer un espace teletravail sans travaux	Derive du signal Flippa home/garden et demande home office; prix marche cloisons acoustiques 400-900 EUR. Source: https://flippa.com/buy/categories/home-and-garden		ideas (1).xlsx	
Purificateur d'air UV-C ionisation filtre HEPA pro	dotmarket	tech-niche	479	dropshippers_mixed	true	true	true	partial	1	60	review		margin_ratio_missing	score 60 - potentiel moyen a confirmer	Tech niche - Search fort - risque commodity		à creuser après validation	ideas.xlsx	
Baby-foot professionnel table massive bois massif	europages	other	669	dropshippers_mixed	true	true	true	partial	1	59	review		margin_ratio_missing	score 59 - potentiel moyen a confirmer	Divertissement/jeux - Shopping + Search		à creuser après validation	ideas.xlsx	
Banc exterieur beton bois design pour terrasse	europages	outdoor_furniture	720	few_or_none	true	true	true	yes	1	59	review		margin_ratio_missing	margin_ratio_missing	Mobilier exterieur durable style parc/hotel	Signal Europages mobilier urbain Crouzoulon; prix marche banc design 600-1200 EUR. Source: https://www.europages.fr/entreprises/france/fabricant%20producteur/mobilier-urbain.html		ideas (1).xlsx	
Cage de musculation Smith Machine professionnelle	europages	sport	780	dropshippers_mixed	true	true	true	partial	1	59	review		margin_ratio_missing	score 59 - potentiel moyen a confirmer	Sport maison/outdoor - Search fort (intention achat) + Shopping		à creuser après validation	ideas.xlsx	
Escalier meunier gain de place bois et metal	cdiscount	space_saving_home	690	few_or_none	true	true	true	yes	1	59	review		margin_ratio_missing	margin_ratio_missing	Acceder a mezzanine/combles dans une petite surface	Signal Cdiscount bricolage/menuiserie; prix marche escaliers gain de place 550-1200 EUR. Source: https://www.cdiscount.com/bricolage/menuiserie/		ideas (1).xlsx	
Groupe de recuperation fluides frigorigenes HVAC 1 HP	vevor	hvac_tools	650	few_or_none	true	true	true	yes	1	59	review		margin_ratio_missing	margin_ratio_missing	Outillage CVC portable pour artisans clim/froid	VEVOR liste groupe recuperation 419,99 EUR; marche pro 500-1000 EUR. Source: https://www.vevor.fr/s/groupe-electrogene		ideas (1).xlsx	
Jardiniere acier corten XXL modulable	europages	garden_planter	650	few_or_none	true	true	true	yes	1	59	review		margin_ratio_missing	margin_ratio_missing	Terrasse paysagee premium sans travaux lourds	Signal Europages acier corten; prix marche jardiniere XXL 450-1000 EUR. Source: https://www.europages.fr/entreprises/acier-corten.html		ideas (1).xlsx	
Sauna tonneau exterieur en bois de pin 2 places	flippa	wellness	1750	dropshippers_weak_sites	true	true	true	yes	2	59	review		margin_ratio_missing	score 59 - potentiel moyen a confirmer	Bien-etre maison - audience 35-60 ans CSP+ - Shopping + Search		à creuser après validation	ideas.xlsx	
Jardiniere suреlevee bois XXL potager 2m	pinterest_trends	garden	359	dropshippers_weak_sites	true	true	true	partial	1	58	review		margin_ratio_missing	score 58 - potentiel moyen a confirmer	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire		à creuser après validation	ideas.xlsx	
Miroir mural ovale metal dore biseaute XXL	pinterest_trends	home	299	dropshippers_weak_sites	true	true	true	partial	1	58	review		margin_ratio_missing	score 58 - potentiel moyen a confirmer	Mobilier premium - decos - Shopping fort + retargeting		à creuser après validation	ideas.xlsx	
Aquarium panoramique 200L avec meuble integre	amazon_movers	home	499	dropshippers_mixed	true	true	true	partial	1	57	review		margin_ratio_missing	score 57 - margin manquante + signal faible	Mobilier premium - decos - Shopping fort + retargeting		données insuffisantes	ideas.xlsx	
Baignoire balneotherapie ilot autoportante	cdiscount	wellness	1190	dropshippers_mixed	true	false	true	yes	2	57	review		margin_ratio_missing	score 57 - margin manquante + signal faible	Bien-etre maison - audience 35-60 ans CSP+ - Shopping + Search		données insuffisantes	ideas.xlsx	
Cloison vegetale stabilisee panneau cadre metal noir	pinterest_trends	home	449	dropshippers_mixed	true	true	true	partial	1	57	review		margin_ratio_missing	score 57 - margin manquante + signal faible	Mobilier premium - decos - Shopping fort + retargeting		données insuffisantes	ideas.xlsx	
Composteur electrique de cuisine 3 a 5 L anti-odeur	amazon_movers	kitchen_waste_equipment	430	dropshippers_mixed	true	true	true	partial	1	57	review		margin_ratio_missing	margin_ratio_missing	Reduire les biodechets en appartement sans odeurs	Signal Amazon Cuisine/Maison; prix marche composteurs electriques 350-650 EUR. Source: https://www.amazon.fr/gp/movers-and-shakers/kitchen		ideas (1).xlsx	
Fauteuil accent rattan Afrohemian	pinterest_trends	home_furniture	480	dropshippers_mixed	true	true	true	partial	1	57	review		margin_ratio_missing	margin_ratio_missing	Salon boheme africain avec piece assise naturelle	Pinterest Afrohemian Decor: rattan accent chair +50%, bamboo beaded curtains +60%. Prix marche fauteuils accent 350-700 EUR. Source: https://newsroom.pinterest.com/en-gb/news/pinterest-predicts-nonconformity-self-preservation-and-escapism-drive-21-trends-for-2026/		ideas (1).xlsx	
Rameur hydraulique professionnel eau et air	flippa	sport	660	semi_brands	true	true	true	partial	1	57	review		margin_ratio_missing	score 57 - margin manquante + signal faible	Sport maison/outdoor - Search fort (intention achat) + Shopping		données insuffisantes	ideas.xlsx	
Rideaux velours theatre et kit draperie plafond	pinterest_trends	event_home_decor	450	dropshippers_mixed	true	true	true	partial	1	57	review		margin_ratio_missing	margin_ratio_missing	Transformer salon ou evenement en decor opera	Pinterest Opera Aesthetic: wedding ceiling draping +40%, masquerade decor +40%. Prix marche kits velours/draping 300-800 EUR. Source: https://newsroom.pinterest.com/en-gb/news/pinterest-predicts-nonconformity-self-preservation-and-escapism-drive-21-trends-for-2026/		ideas (1).xlsx	
Panneaux acoustiques tasseaux bois pour mur complet	amazon_movers	home_acoustics	320	dropshippers_mixed	true	true	true	partial	2	56	review		margin_ratio_missing	margin_ratio_missing	Rendre un salon ou bureau plus calme et plus premium	Signal Amazon deco/renovation + tendance interieur; prix marche lots muraux 250-600 EUR. Sources: https://www.amazon.fr/gp/movers-and-shakers/hi | https://business.pinterest.com/en-gb/pinterest-predicts/		ideas (1).xlsx	
Pergola alu autoportante bioclimatique 4x3m	cdiscount	garden	990	dropshippers_mixed	true	true	true	partial	2	56	review		margin_ratio_missing	score 56 - margin manquante + signal faible	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire		données insuffisantes	ideas.xlsx	
Pompe a chaleur piscine 10kW silencieuse	cdiscount	equipment	899	semi_brands	true	false	true	yes	2	56	review		margin_ratio_missing	score 56 - margin manquante + signal faible	Equipement pro/semi-pro - Search fort (probleme/solution)		données insuffisantes	ideas.xlsx	
Robot nettoyeur de piscine electrique sur fil	amazon_movers	garden	399	dropshippers_mixed	true	true	true	partial	2	56	review		margin_ratio_missing	score 56 - margin manquante + signal faible	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire		données insuffisantes	ideas.xlsx	
Fontaine de jardin murale pierre reconstituee	flippa	garden_water_feature	390	dropshippers_mixed	true	true	true	partial	1	55	review		margin_ratio_missing	margin_ratio_missing	Créer une terrasse mediterraneenne sans gros chantier	Flippa home/garden + tendance jardins decoratifs; prix marche fontaines murales 300-700 EUR. Sources: https://flippa.com/buy/categories/home-and-garden | https://www.countryliving.com/gardening/garden-ideas/a70160525/garden-trends-2026/		ideas (1).xlsx	
Fontaine de jardin solaire cascade multi-niveaux	bigbuy	garden	289	dropshippers_weak_sites	true	true	true	partial	1	55	review		margin_ratio_missing	score 55 - margin manquante + signal faible	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire		données insuffisantes	ideas.xlsx	
Garde-corps aluminium ou inox en kit pour terrasse	europages	home_renovation	820	semi_brands	true	true	true	partial	2	55	review		margin_ratio_missing	margin_ratio_missing	Securiser une terrasse sans passer par un devis artisan opaque	Signal Europages + Cdiscount bricolage; prix marche kits 600-1200 EUR selon metres. Sources: https://www.europages.fr/entreprises/france/fabricant%20producteur/mobilier-urbain.html | https://www.cdiscount.com/bricolage		ideas (1).xlsx	
Plaque vibrante compacteur thermique 15 kN	vevor	construction_tools	650	few_or_none	true	true	true	partial	1	55	review		margin_ratio_missing	margin_ratio_missing	Realiser terrasse, allee et pavage sans louer a chaque week-end	VEVOR liste 453,90 EUR; marche FR compacteurs 600-1000 EUR. Source: https://www.vevor.fr/s/plaque-vibrante-compacteur		ideas (1).xlsx	
Abri poubelle design metal double ou triple	europages	outdoor_storage	580	few_or_none	true	true	true	yes	1	54	reject		margin_ratio_missing	margin_ratio_missing	Cacher les bacs et rendre l'entree maison plus propre	Signal Europages METASTAL/FranceAbris; prix marche 450-900 EUR. Sources: https://www.europages.fr/METASTAL/00000005411559-747166001.html | https://www.europages.fr/entreprises/france/fabricant%20producteur/boite-metallique.html		ideas (1).xlsx	
Auvent marquise aluminium polycarbonate 6 m	cdiscount	home_exterior	450	dropshippers_mixed	true	true	true	partial	1	54	reject		margin_ratio_missing	margin_ratio_missing	Proteger entree ou terrasse de la pluie sans gros travaux	Signal Cdiscount abris/annexes et stores; prix marche grandes marquises 350-700 EUR. Source: https://www.cdiscount.com/jardin/abris-annexes-rangement/		ideas (1).xlsx	
Camera d'inspection canalisation 30 m avec ecran	vevor	plumbing_tools	420	dropshippers_mixed	true	true	true	partial	1	54	reject		margin_ratio_missing	margin_ratio_missing	Diagnostiquer une canalisation avant intervention couteuse	Signal VEVOR plomberie/camera egout; prix marche 300-700 EUR. Source: https://www.vevor.fr/s/v%C3%A9vor		ideas (1).xlsx	
Coffre-fort biometrique 60 L anti-effraction	cdiscount	home_safety	534	dropshippers_mixed	true	true	true	partial	1	54	reject		margin_ratio_missing	margin_ratio_missing	Proteger papiers et objets de valeur sans coffre bancaire	Cdiscount NIKCORP 58x40x33 cm a 533,99 EUR; variantes biometrie 189-534 EUR. Sources: https://www.cdiscount.com/bricolage/securite-domotique/coffre-fort-biomtrique/f-1662007-aacbi26593.html | https://www.cdiscount.com/bricolage/r-coffre%2Bfort%2Bempreinte%2Bdigitale.html		ideas (1).xlsx	
Coupe-carreaux electrique sur table avec eau	vevor	tile_tools	520	dropshippers_mixed	true	true	true	partial	1	54	reject		margin_ratio_missing	margin_ratio_missing	Couper proprement carrelage grand format sans louer une scie	Signal VEVOR revetements de sol/coupe-carreaux; prix marche 350-700 EUR. Source: https://www.vevor.fr/s/v%C3%A9vor		ideas (1).xlsx	
Fumoir BBQ professionnel acier offset 120cm	vevor	garden	480	dropshippers_mixed	true	true	true	partial	1	54	reject		margin_ratio_missing	score 54 - margin manquante + signal faible	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire		données insuffisantes	ideas.xlsx	
Kayak gonflable biplace avec pagaies	europages	outdoor	429	dropshippers_mixed	true	true	true	partial	1	54	reject		margin_ratio_missing	score 54 - margin manquante + signal faible	Loisirs outdoor - Search + Shopping - saisonnier risque		données insuffisantes	ideas.xlsx	
Presse a chaud textile 40 x 50 cm auto-open	vevor	craft_business_equipment	480	dropshippers_mixed	true	true	true	partial	1	54	reject		margin_ratio_missing	margin_ratio_missing	Lancer micro-atelier textile sans machine industrielle	Signal VEVOR machines creation; prix marche presses 40x50 350-700 EUR. Source: https://www.vevor.fr/s/v%C3%A9vor		ideas (1).xlsx	
Recuperateur eau de pluie mural design 800 L	europages	water_saving_garden	520	dropshippers_mixed	true	true	true	partial	1	54	reject		margin_ratio_missing	margin_ratio_missing	Arroser le jardin en ete sans cuve moche	Signal fournisseurs jardin/amenagement Europages; prix marche cuves design 400-800 EUR. Source: https://www.europages.fr/entreprises/jardinage.html		ideas (1).xlsx	
Scelleuse sous vide a chambre 320 mm	vevor	commercial_kitchen_equipment	450	dropshippers_mixed	true	true	true	partial	1	54	reject		margin_ratio_missing	margin_ratio_missing	Conservation pro pour traiteurs, chasseurs et familles batch cooking	VEVOR a 242,90-320 EUR selon modele; marche FR chambre 350-700 EUR. Sources: https://www.vevor.fr/machines-d-emballage-sous-vide-c_10467/vevor-machine-a-emballer-sous-vide-a-chambre-260-w-machine-d-emballage-sous-vide-taille-compacte-260-mm-dans-la-cuisine-domestique-et-pour-un-usage-commercial-pour-aliments-humides-viandes-marinades-p_010395199420 | https://www.vevor.fr/machines-d-emballage-sous-vide-c_10467/vevor-machine-a-emballer-sous-vide-a-chambre-320-w-machine-d-emballage-sous-vide-taille-compacte-320-mm-dans-la-cuisine-domestique-et-pour-un-usage-commercial-pour-aliments-humides-viandes-marinades-p_010249426550		ideas (1).xlsx	
Tapis laine tufte XXL motif geometrique Neo Deco	pinterest_trends	home_decoration	650	semi_brands	true	true	true	partial	1	54	reject		margin_ratio_missing	margin_ratio_missing	Piece forte art deco pour salon sans changer les meubles	Pinterest Neo Deco: chevrons, chrome/laiton, retour art deco. Prix marche tapis laine XXL 500-1000 EUR. Source: https://newsroom.pinterest.com/en-gb/news/pinterest-predicts-nonconformity-self-preservation-and-escapism-drive-21-trends-for-2026/		ideas (1).xlsx	
Cabine de douche hammam vapeur 90x90 integree	bigbuy	wellness	980	dropshippers_mixed	true	false	true	partial	2	53	reject		margin_ratio_missing	score 53 - margin manquante + signal faible	Bien-etre maison - audience 35-60 ans CSP+ - Shopping + Search		données insuffisantes	ideas.xlsx	
Paddle gonflable pack complet 320cm	europages	outdoor	399	dropshippers_mixed	true	true	true	partial	2	53	reject		margin_ratio_missing	score 53 - margin manquante + signal faible	Loisirs outdoor - Search + Shopping - saisonnier risque		données insuffisantes	ideas.xlsx	
Table de billard convertible 7 pieds avec housse	europages	home	950	dropshippers_mixed	true	false	true	yes	1	53	reject		margin_ratio_missing	score 53 - margin manquante + signal faible	Mobilier premium - decos - Shopping fort + retargeting		données insuffisantes	ideas.xlsx	
Abri velo securise metal 4 a 6 velos	europages	outdoor_storage	950	few_or_none	true	true	true	yes	1	52	reject		margin_ratio_missing	margin_ratio_missing	Proteger les velos electriques sans construire un garage	Signal Europages France Abris; prix marche abris velos securises 700-1400 EUR. Sources: https://www.europages.fr/entreprises/abris%20pour%20v%C3%A9los.html | https://www.europages.fr/entreprises/fabrication-de-velos.html		ideas (1).xlsx	
Porte de garage sectionnelle motorisee 254 x 218 cm	cdiscount	home_renovation	924	dropshippers_mixed	true	true	true	partial	1	52	reject		margin_ratio_missing	margin_ratio_missing	Remplacer une porte de garage vieillissante sans devis opaque	Cdiscount NORIA motorisee a 923,99 EUR; marche kit 850-1500 EUR. Sources: https://www.cdiscount.com/bricolage/r-porte%2Bde%2Bgarage%2Bbasculante%2Bmanuelle.html | https://www.cdiscount.com/bricolage/r-porte%2Bde%2Bgarage%2Bbattante.html		ideas (1).xlsx	
Projecteur LED chantier telescopique sur batterie	amazon_movers	workshop_lighting	250	dropshippers_mixed	true	true	true	partial	1	52	reject		margin_ratio_missing	margin_ratio_missing	Eclairage mobile puissant pour travaux, garage et renovation	Signal Amazon Bricolage; prix marche 200-350 EUR. Source: https://www.amazon.fr/gp/movers-and-shakers/hi		ideas (1).xlsx	
Table tennis exterieure intemperies tout temps	flippa	sport	469	semi_brands	true	true	true	partial	1	52	reject		margin_ratio_missing	score 52 - margin manquante + signal faible	Sport maison/outdoor - Search fort (intention achat) + Shopping		données insuffisantes	ideas.xlsx	
Telescope astronomique go-to computerise refracteur	flippa	outdoor	489	semi_brands	true	true	true	partial	1	52	reject		margin_ratio_missing	score 52 - margin manquante + signal faible	Loisirs outdoor - Search + Shopping - saisonnier risque		données insuffisantes	ideas.xlsx	
Abri de jardin metal 5x3m avec fenetre	europages	garden	699	semi_brands	true	true	true	partial	1	51	reject		margin_ratio_missing	score 51 - margin manquante + signal faible	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire		données insuffisantes	ideas.xlsx	
Banquette cuir capitonnee Art Deco	pinterest_trends	home_furniture	920	semi_brands	true	true	true	yes	1	51	reject		margin_ratio_missing	margin_ratio_missing	Assise statement pour entree, salon ou restaurant boutique	Pinterest Neo Deco: leather banquette +35%. Prix marche banquettes cuir/design 700-1400 EUR. Source: https://newsroom.pinterest.com/en-gb/news/pinterest-predicts-nonconformity-self-preservation-and-escapism-drive-21-trends-for-2026/		ideas (1).xlsx	
Extracteur de jus commercial centrifuge professionnel	vevor	equipment	519	few_or_none	true	false	true	yes	1	51	reject		margin_ratio_missing	score 51 - margin manquante + signal faible	Equipement pro/semi-pro - Search fort (probleme/solution)		données insuffisantes	ideas.xlsx	
Generateur solaire portable 1000W LiFePO4	vevor	equipment	720	semi_brands	true	true	true	partial	1	51	reject		margin_ratio_missing	score 51 - margin manquante + signal faible	Equipement pro/semi-pro - Search fort (probleme/solution)		données insuffisantes	ideas.xlsx	
Lit coffre 160x200 avec rangement tete de lit velours	bigbuy	home	649	semi_brands	true	true	true	partial	1	51	reject		margin_ratio_missing	score 51 - margin manquante + signal faible	Mobilier premium - decos - Shopping fort + retargeting		données insuffisantes	ideas.xlsx	
Planche d'equilibre surf indoor bois premium	flippa	sports_training	220	dropshippers_mixed	true	true	true	partial	1	51	reject		margin_ratio_missing	margin_ratio_missing	S'entrainer surf/snow chez soi avec objet deco sportif	Flippa sports/outdoor eCommerce signale 990k$ revenue; prix marche balance boards premium 180-350 EUR. Source: https://flippa.com/buy/categories/sports-and-outdoor		ideas (1).xlsx	
Pouf geant XXL impermeabilise jardin et salon	bigbuy	garden	189	dropshippers_weak_sites	true	true	true	partial	1	51	reject		margin_ratio_missing	score 51 - margin manquante + signal faible	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire		données insuffisantes	ideas.xlsx	
Presse hydraulique 20 tonnes atelier mecanique	vevor	equipment	459	few_or_none	true	false	true	yes	1	51	reject		margin_ratio_missing	score 51 - margin manquante + signal faible	Equipement pro/semi-pro - Search fort (probleme/solution)		données insuffisantes	ideas.xlsx	
Alambic cuivre artisanal 10L distillateur plantes	vevor	equipment	340	few_or_none	true	false	true	yes	2	50	reject		margin_ratio_missing	score 50 - margin manquante + signal faible	Equipement pro/semi-pro - Search fort (probleme/solution)		données insuffisantes	ideas.xlsx	
Cache climatisation exterieure aluminium design	cdiscount	home_exterior	260	dropshippers_mixed	true	true	true	partial	1	49	reject		margin_ratio_missing	margin_ratio_missing	Cacher l'unite exterieure tout en gardant la ventilation	Signal Cdiscount maison/jardin; prix marche caches clim 200-400 EUR. Source: https://www.cdiscount.com/jardin/		ideas (1).xlsx	
Chaise longue bain de soleil teck massif double	cdiscount	garden	349	dropshippers_mixed	true	true	true	partial	1	49	reject		margin_ratio_missing	score 49 trop faible	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire		rejet évident	ideas.xlsx	
Deshumidificateur industriel 50L par jour	vevor	equipment	380	dropshippers_mixed	true	true	true	partial	1	49	reject		margin_ratio_missing	score 49 trop faible	Equipement pro/semi-pro - Search fort (probleme/solution)		rejet évident	ideas.xlsx	
Deshydrateur alimentaire inox 10 a 12 plateaux	vevor	commercial_kitchen_equipment	360	dropshippers_mixed	true	true	true	partial	1	49	reject		margin_ratio_missing	margin_ratio_missing	Sechage maison/pro pour fruits, viande et friandises animaux	Signal VEVOR dehydrateur 10/12 plateaux; prix marche 250-500 EUR. Sources: https://www.vevor.fr/deshydrateur-alimentaire-commercial-c_10678/vevor-deshydrateur-alimentaire-sechoir-electrique-1000-w-10-plateaux-pour-fruits-p_010614084859 | https://www.vevor.fr/deshydrateur-alimentaire-commercial-c_10678/vevor-deshydrateur-alimentaire-rotatif-electrique-800-w-12-plateaux-pour-fruits-p_010363063612		ideas (1).xlsx	
Lit a eau waterbed king size double regulation	cdiscount	home	920	few_or_none	true	false	true	yes	1	49	reject		margin_ratio_missing	score 49 trop faible	Mobilier premium - decos - Shopping fort + retargeting		rejet évident	ideas.xlsx	
Machine a denuder electrique cables cuivre 1,5-32 mm	vevor	recycling_equipment	390	few_or_none	true	true	true	yes	1	49	reject		margin_ratio_missing	margin_ratio_missing	Rentabiliser le recyclage cuivre en atelier	VEVOR best-seller a 269,90 EUR; marche FR 300-600 EUR. Source: https://www.vevor.fr/best-sellers?page=4		ideas (1).xlsx	
Motorisation portail coulissant solaire 600 kg	cdiscount	home_security_access	360	dropshippers_mixed	true	true	true	partial	1	49	reject		margin_ratio_missing	margin_ratio_missing	Automatiser un portail sans tirer une ligne electrique	Signal Cdiscount bricolage motorisation; prix marche kits solaires 300-600 EUR. Source: https://www.cdiscount.com/bricolage/motorisation/		ideas (1).xlsx	
Nettoyeur vapeur professionnel multifonction 2200W	vevor	equipment	329	dropshippers_mixed	true	true	true	partial	1	49	reject		margin_ratio_missing	score 49 trop faible	Equipement pro/semi-pro - Search fort (probleme/solution)		rejet évident	ideas.xlsx	
