cell,product_id,n,type_visuel,image_reference,prompt
F6,1005007377321264,1,Packshot studio,images/1005007377321264/01-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005007377321264/01-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : fond blanc pur studio e-commerce, produit centré vue 3/4, ombre portée douce, éclairage diffus, ultra net. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F6,1005007377321264,2,Mise en situation,images/1005007377321264/02-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005007377321264/02-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : filtre de douche inox cylindrique vissé sur un flexible chromé dans une salle de bain claire, éclairage naturel, cadrage produit, photoréaliste. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F6,1005007377321264,3,Détail macro,images/1005007377321264/03-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005007377321264/03-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : gros plan macro sur la matière, la finition et les raccords du produit, profondeur de champ courte, lumière rasante. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F6,1005007377321264,4,Lifestyle contexte,images/1005007377321264/04-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005007377321264/04-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : filtre de douche inox cylindrique vissé sur un flexible chromé dans une salle de bain claire, ambiance de vie réaliste, décor épuré et lumineux, rendu magazine déco. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F6,1005007377321264,5,Infographie bénéfice,images/1005007377321264/05-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005007377321264/05-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : présentation e-commerce du produit sur fond clair avec espace pour superposer un texte de bénéfice (ex. specs clés), style épuré. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté (laisser une zone vide pour le texte)."
F7,1005007476627621,1,Packshot studio,images/1005007476627621/01-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005007476627621/01-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : fond blanc pur studio e-commerce, produit centré vue 3/4, ombre portée douce, éclairage diffus, ultra net. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F7,1005007476627621,2,Mise en situation,images/1005007476627621/02-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005007476627621/02-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : pomme de douche filtrante à main avec cartouche colorée visible, salle de bain lumineuse, éclairage naturel, cadrage produit, photoréaliste. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F7,1005007476627621,3,Détail macro,images/1005007476627621/03-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005007476627621/03-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : gros plan macro sur la matière, la finition et les raccords du produit, profondeur de champ courte, lumière rasante. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F7,1005007476627621,4,Lifestyle contexte,images/1005007476627621/04-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005007476627621/04-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : pomme de douche filtrante à main avec cartouche colorée visible, salle de bain lumineuse, ambiance de vie réaliste, décor épuré et lumineux, rendu magazine déco. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F7,1005007476627621,5,Infographie bénéfice,images/1005007476627621/05-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005007476627621/05-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : présentation e-commerce du produit sur fond clair avec espace pour superposer un texte de bénéfice (ex. specs clés), style épuré. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté (laisser une zone vide pour le texte)."
F8,1005012014156043,1,Packshot studio,images/1005012014156043/01-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005012014156043/01-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : fond blanc pur studio e-commerce, produit centré vue 3/4, ombre portée douce, éclairage diffus, ultra net. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F8,1005012014156043,2,Mise en situation,images/1005012014156043/02-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005012014156043/02-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : filtre de douche parfumé bleu monté sur flexible, gouttes d'eau, ambiance spa, éclairage naturel, cadrage produit, photoréaliste. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F8,1005012014156043,3,Détail macro,images/1005012014156043/03-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005012014156043/03-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : gros plan macro sur la matière, la finition et les raccords du produit, profondeur de champ courte, lumière rasante. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F8,1005012014156043,4,Lifestyle contexte,images/1005012014156043/04-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005012014156043/04-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : filtre de douche parfumé bleu monté sur flexible, gouttes d'eau, ambiance spa, ambiance de vie réaliste, décor épuré et lumineux, rendu magazine déco. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F8,1005012014156043,5,Infographie bénéfice,images/1005012014156043/05-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005012014156043/05-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : présentation e-commerce du produit sur fond clair avec espace pour superposer un texte de bénéfice (ex. specs clés), style épuré. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté (laisser une zone vide pour le texte)."
F9,1005008848496706,1,Packshot studio,images/1005008848496706/01-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008848496706/01-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : fond blanc pur studio e-commerce, produit centré vue 3/4, ombre portée douce, éclairage diffus, ultra net. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F9,1005008848496706,2,Mise en situation,images/1005008848496706/02-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008848496706/02-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : pomme de douche ronde chromée avec cartouche filtrante, plan rapproché finition, éclairage naturel, cadrage produit, photoréaliste. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F9,1005008848496706,3,Détail macro,images/1005008848496706/03-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008848496706/03-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : gros plan macro sur la matière, la finition et les raccords du produit, profondeur de champ courte, lumière rasante. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F9,1005008848496706,4,Lifestyle contexte,images/1005008848496706/04-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008848496706/04-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : pomme de douche ronde chromée avec cartouche filtrante, plan rapproché finition, ambiance de vie réaliste, décor épuré et lumineux, rendu magazine déco. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F9,1005008848496706,5,Infographie bénéfice,images/1005008848496706/05-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008848496706/05-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : présentation e-commerce du produit sur fond clair avec espace pour superposer un texte de bénéfice (ex. specs clés), style épuré. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté (laisser une zone vide pour le texte)."
F10,1005008295498961,1,Packshot studio,images/1005008295498961/01-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008295498961/01-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : fond blanc pur studio e-commerce, produit centré vue 3/4, ombre portée douce, éclairage diffus, ultra net. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F10,1005008295498961,2,Mise en situation,images/1005008295498961/02-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008295498961/02-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : douchette à main avec cartouche vitamine C orange visible, salle de bain design, éclairage naturel, cadrage produit, photoréaliste. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F10,1005008295498961,3,Détail macro,images/1005008295498961/03-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008295498961/03-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : gros plan macro sur la matière, la finition et les raccords du produit, profondeur de champ courte, lumière rasante. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F10,1005008295498961,4,Lifestyle contexte,images/1005008295498961/04-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008295498961/04-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : douchette à main avec cartouche vitamine C orange visible, salle de bain design, ambiance de vie réaliste, décor épuré et lumineux, rendu magazine déco. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F10,1005008295498961,5,Infographie bénéfice,images/1005008295498961/05-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008295498961/05-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : présentation e-commerce du produit sur fond clair avec espace pour superposer un texte de bénéfice (ex. specs clés), style épuré. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté (laisser une zone vide pour le texte)."
F22,1005008226493006,1,Packshot studio,images/1005008226493006/01-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008226493006/01-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : fond blanc pur studio e-commerce, produit centré vue 3/4, ombre portée douce, éclairage diffus, ultra net. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F22,1005008226493006,2,Mise en situation,images/1005008226493006/02-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008226493006/02-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : carafe filtrante bleue 3,6L posée sur un plan de travail de cuisine scandinave, éclairage naturel, cadrage produit, photoréaliste. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F22,1005008226493006,3,Détail macro,images/1005008226493006/03-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008226493006/03-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : gros plan macro sur la matière, la finition et les raccords du produit, profondeur de champ courte, lumière rasante. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F22,1005008226493006,4,Lifestyle contexte,images/1005008226493006/04-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008226493006/04-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : carafe filtrante bleue 3,6L posée sur un plan de travail de cuisine scandinave, ambiance de vie réaliste, décor épuré et lumineux, rendu magazine déco. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F22,1005008226493006,5,Infographie bénéfice,images/1005008226493006/05-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008226493006/05-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : présentation e-commerce du produit sur fond clair avec espace pour superposer un texte de bénéfice (ex. specs clés), style épuré. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté (laisser une zone vide pour le texte)."
F23,1005006995593983,1,Packshot studio,images/1005006995593983/01-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005006995593983/01-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : fond blanc pur studio e-commerce, produit centré vue 3/4, ombre portée douce, éclairage diffus, ultra net. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F23,1005006995593983,2,Mise en situation,images/1005006995593983/02-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005006995593983/02-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : carafe filtrante blanche sur une table de cuisine, verre d'eau claire à côté, éclairage naturel, cadrage produit, photoréaliste. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F23,1005006995593983,3,Détail macro,images/1005006995593983/03-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005006995593983/03-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : gros plan macro sur la matière, la finition et les raccords du produit, profondeur de champ courte, lumière rasante. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F23,1005006995593983,4,Lifestyle contexte,images/1005006995593983/04-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005006995593983/04-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : carafe filtrante blanche sur une table de cuisine, verre d'eau claire à côté, ambiance de vie réaliste, décor épuré et lumineux, rendu magazine déco. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F23,1005006995593983,5,Infographie bénéfice,images/1005006995593983/05-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005006995593983/05-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : présentation e-commerce du produit sur fond clair avec espace pour superposer un texte de bénéfice (ex. specs clés), style épuré. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté (laisser une zone vide pour le texte)."
F24,1005008660249482,1,Packshot studio,images/1005008660249482/01-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008660249482/01-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : fond blanc pur studio e-commerce, produit centré vue 3/4, ombre portée douce, éclairage diffus, ultra net. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
F24,1005008660249482,2,Mise en situation,images/1005008660249482/02-carousel.png,"[IMAGE DE RÉFÉRENCE : images/1005008660249482/02-carousel.png] Reproduis FIDÈLEMENT le produit de l'image de référence (forme, proportions, couleur, finition, logo/texte). Scène : carafe filtrante à eau alcaline haut de gamme sur un plan de travail, lumière naturelle, éclairage naturel, cadrage produit, photoréaliste. Format 4:5 vertical, qualité photo e-commerce, haute résolution, sans watermark, sans texte ajouté."
