cell,collection,product_id,titre,prix_EUR,prix_avant,variante,note,avis,ventes,expedie_depuis,livraison,images,completude/100,confiance/100,risque,recommandation,url
F22,3. Carafes filtrantes,1005008226493006,[Stock ue] bouilloire 3.6L purificateur d'eau cuisine domestique filtre à eau portable pichet bouilloire de purification d'eau,30.39,24.79,Couleur: Blue,4.6,85,,Expédié depuis:Allemagne,juillet 15 - 21 ,5,85,72,MOYEN,VARIANTE À TESTER (carafe/bouilloire filtrante),https://fr.aliexpress.com/item/1005008226493006.html
F23,3. Carafes filtrantes,1005006995593983,"Bouilloire à filtre domestique avec 3 dispositifs de filtre, purificateur d'eau au charbon actif alcalin et minuterie, eau filtrante Non toxique propre 3,5 l",31.99,0.57,Couleur: White 1 Filter,4.9,202,,non affiché sur la fiche, juillet 19 - 30 ,5,73,69,MOYEN,VARIANTE À TESTER (carafe/bouilloire filtrante),https://fr.aliexpress.com/item/1005006995593983.html
F24,3. Carafes filtrantes,1005008660249482,"ALTHY Filtre de pichet d'eau alcaline minérale 3,5 L - Filtres longue durée 400 L - Système de filtration purificateur d'alkalizer + pH -ORP",65.69,74.08,Couleur: Pitcher and Filter,4.9,44,,non affiché sur la fiche, juillet 17 - 26 ,5,73,63,MOYEN,VARIANTE À TESTER (carafe/bouilloire filtrante),https://fr.aliexpress.com/item/1005008660249482.html
F25,3. Carafes filtrantes,1005007117128363,2.5L purificateur d'eau bouilloire capacité filtre à eau filtre à quatre couches pichet d'eau purificateur bureau ménage Type universel,26.19,24.99,,4.3,67,,non affiché sur la fiche, juillet 16 - 19 ,5,65,54,MOYEN,VARIANTE À TESTER (carafe/bouilloire filtrante),https://fr.aliexpress.com/item/1005007117128363.html
F26,3. Carafes filtrantes,1005010536762195,"Bouilloire filtrante domestique avec 1 cartouche filtrante, purificateur d'eau au charbon actif alcalin et minuterie, filtre à eau Non toxique 3,6 l",26.39,27.85,Couleur: Paquet B,4.7,31,,Expédié depuis:Allemagne,juillet 15 - 21 ,5,85,71,MOYEN,VARIANTE À TESTER (carafe/bouilloire filtrante),https://fr.aliexpress.com/item/1005010536762195.html
F30,4. Filtres robinet,1005006783135107,"Filtre à eau pour robinet de cuisine, purificateur d'eau dure pressurisé avec bulleur, élimination du chlore et des métaux lourds, avec extension de bassin",7.49,5.89,Couleur: B 1PC,4.9,1457,,non affiché sur la fiche, juillet 16 - 19 ,5,73,69,FAIBLE,"UPSELL / ACCESSOIRE (petit prix, panier moyen)",https://fr.aliexpress.com/item/1005006783135107.html
F31,4. Filtres robinet,1005007344985457,"Filtre purificateur d'eau rotatif à 360° universel pour cuisine, salle de bain, douche, filtre domestique en coton PP haute densité",7.79,6.19,Couleur: three modes,4.9,1456,,non affiché sur la fiche, juillet 16 - 19 ,5,73,69,FAIBLE,"UPSELL / ACCESSOIRE (petit prix, panier moyen)",https://fr.aliexpress.com/item/1005007344985457.html
F32,4. Filtres robinet,1005007636231647,"Éléments filtrants de robinet, purificateur d'eau, filtre emove chlore, adaptateur de robinet en métal lourd, Filtration en coton PP pour cuisine salle de bains",5.59,2.8,Couleur: 2pcs filters,4.9,1069,,non affiché sur la fiche, juillet 17 - 22 ,5,73,69,FAIBLE,"UPSELL / ACCESSOIRE (petit prix, panier moyen)",https://fr.aliexpress.com/item/1005007636231647.html
F33,4. Filtres robinet,1005005956268410,"Kits de purificateur de sortie d'eau, filtre de robinet universel, cuisine salle de bains douche, filtre domestique en coton PP, filtre haute densité",5.59,4.79,Couleur: 2PCS Cotton,4.7,658,,non affiché sur la fiche, juillet 18 - 22 ,5,73,65,FAIBLE,"UPSELL / ACCESSOIRE (petit prix, panier moyen)",https://fr.aliexpress.com/item/1005005956268410.html
F34,4. Filtres robinet,1005007009738834,Aérateurs économie d'eau robinet buse fil remplaçable robinet de cuisine filtre bouche salle de bains robinet barboteur pièces de salle de bains,4.99,3.39,Couleur: 1 pièce,4.9,2259,,non affiché sur la fiche, juillet 16 - 19 ,5,73,69,FAIBLE,"UPSELL / ACCESSOIRE (petit prix, panier moyen)",https://fr.aliexpress.com/item/1005007009738834.html
F38,5. Purificateurs portables / camping / survie,1005009916306044,"Purificateur d'eau de Camping en plein air, Filtration de 0.01 microns, Portable, Type de paille réutilisable, utilisation en Fiber creuse de haute qualité",10.19,11.04,Couleur: Blue,4.9,631,,non affiché sur la fiche, juillet 16 - 19 ,5,73,69,FAIBLE,VARIANTE À TESTER (niche camping/outdoor),https://fr.aliexpress.com/item/1005009916306044.html
F39,5. Purificateurs portables / camping / survie,1005008429890699,Le plus récent tuyau à fumer d'eau Portable Circulation porte-Cigarette Shisha narguilé bouteille de Cigarette meilleur cadeau de fumer pour hommes femmes,8.89,7.19,Couleur: Brun,4.9,649,,non affiché sur la fiche, juillet 16 - 19 ,5,73,69,CRITIQUE,À ÉCARTER (hors périmètre eau),https://fr.aliexpress.com/item/1005008429890699.html
F43,6. Anti-calcaire électronique / magnétique,1005007540052398,ALTHY IPSE Terminal échelle inhibition système d'adoucisseur d'eau détartrant Anti calcaire et eau dure pour chauffe-eau filtre de douche,34.79,39.23,,4.9,183,,non affiché sur la fiche, juillet 16 - 19 ,5,65,69,ÉLEVÉ,À VÉRIFIER (efficacité + allégations marketing),https://fr.aliexpress.com/item/1005007540052398.html
F44,6. Anti-calcaire électronique / magnétique,1005001541608902,"Système de détartrant d'eau électronique détartrant d'eau, climatiseur d'eau dure électronique alternatif sans sel, coque en alliage",35.19,36.85,Couleur: Argent,4.8,92,,non affiché sur la fiche,juillet 19 - 24 ,5,73,64,ÉLEVÉ,À VÉRIFIER (efficacité + allégations marketing),https://fr.aliexpress.com/item/1005001541608902.html
F45,6. Anti-calcaire électronique / magnétique,1005008632801588,"Système de détartrant d'eau électronique détartrant d'eau, climatiseur d'eau dure électronique alternatif sans sel, coque en alliage",31.56,32.56,Couleur: Argent,4.8,39,,Expédié depuis:China Mainland,juillet 19 - 24 ,5,85,64,ÉLEVÉ,À VÉRIFIER (efficacité + allégations marketing),https://fr.aliexpress.com/item/1005008632801588.html
F46,6. Anti-calcaire électronique / magnétique,1005008766211192,"Système d'adoucisseur d'eau super magnétique IPSE pour toute la maison, détartrant d'eau sans sel, Machine d'adoucisseur d'inhibition, retrait de l'échelle",53.89,55.61,Couleur: A-WS60,4.9,35,,Expédié depuis:China Mainland,juillet 19 - 27 ,5,85,66,ÉLEVÉ,À VÉRIFIER (efficacité + allégations marketing),https://fr.aliexpress.com/item/1005008766211192.html
F47,6. Anti-calcaire électronique / magnétique,1005009060835350,"Système de détartrage super-magnétique IPSE pour toute la maison, machine adoucissante anti-calcaire et anti-corrosion pour eau dure",89.35,88.43,Couleur: A-WS50,4.7,62,,non affiché sur la fiche,juillet 19 - 25 ,5,73,62,ÉLEVÉ,À VÉRIFIER (efficacité + allégations marketing),https://fr.aliexpress.com/item/1005009060835350.html
