produit	source	prix fournisseur livre	fournisseur AliExpress	URL fournisseur	commandes AliExpress	note produit AliExpress	notation vendeur AliExpress	delai livraison AliExpress	expedie depuis Europe	prix de vente probable	marge estimee	Shopping Score	Search Score	Business Score	score total	canal recommande	concurrents DTC comparables	angle marketing	these de differenciation	risques	condition de GO	verdict
Climatiseur monobloc mural sans unité extérieure	amazon_movers									1100					47	à valider (Semrush étape 5)			Canicules 2026 (+612% rafraîchissement) + copropriétés interdisant les groupes extérieurs ; segment marques moyennes hors cœur bradé Darty/B			reject
Robot tondeuse sans fil périmétrique GPS/RTK	amazon_movers									900					54	à valider (Semrush étape 5)			Bascule 2025-2026 vers le sans-câble RTK, ventes en accélération ; prix encadrés par les marques (Navimow, Mammotion) — marge à vérifier.			reject
Fauteuil de massage électrique complet (milieu de gamme)	amazon_movers									1200					47	à valider (Semrush étape 5)			Récupération à domicile, panier 800-2000 EUR, semi-marques (Naipo, Komoder) ; différenciation SAV/garantie/livraison premium.			reject
Kit de brumisation haute pression pour terrasse (60-80 bars)	amazon_movers									450					40	à valider (Semrush étape 5)			Rafraîchit la terrasse de 10-15°C en canicule ; segment haute pression (300-650 EUR) tenu par quelques spécialistes, GSB/Amazon = basse pres			reject
Borne de recharge murale 7,4 kW (wallbox + câble Type 2)	dotmarket									750					57	à valider (Semrush étape 5)			Listing Dotmarket 1,3 M€ CA / marge 40% / 40% trafic Google Ads — niche prouvée FR/BE, panier 600-900, spécialistes en face (Mister EV).			review
Enseigne néon LED personnalisée (sur mesure)	dotmarket									300					44	à valider (Semrush étape 5)			Business Dotmarket 110 k€ CA, 90% B2B restaurants/boutiques, fabriqué à la demande donc introuvable en généraliste ; angle Search B2B.			reject
Parure de lit en soie de mûrier 19-22 mommes	dotmarket									280					47	à valider (Semrush étape 5)			Marque en vente à 100 k€ CA/mois (~25 k€ marge op.) ; marché FR 199-500 EUR, angle vraie soie certifiée mommes vs satin polyester.			reject
Voiture électrique enfant 24V 2 places sous licence	dotmarket									550					43	à valider (Semrush étape 5)			Segment premium 24V 2 places (449-800 EUR, famille jouets : vérifier marge ≥4x au sourcing) tenu par des boutiques spécialisées, Amazon sur 			reject
Papier peint panoramique sur mesure	dotmarket									250					38	à valider (Semrush étape 5)			Produit phare montant d'un listing déco (~12 k€/mois de profit) ; 150-600 EUR le mur, léger à expédier, forte émotion déco.			reject
Kit solaire plug & play 800W (balcon/terrasse)	flippa									699					48	à valider (Semrush étape 5)			Business Flippa 800 k$/an à 24% de marge ; niche FR en boom (Beem, Sunology), ≤800W sans démarche (NF C 15-100), sweet spot 600-900.			reject
Kit de filtration complet pour bassin de jardin (pompe + UV)	flippa									449					43	à valider (Semrush étape 5)			Dropship ~100 k$/an à 30% de marge sur Flippa ; marché FR structuré par spécialistes (Oase), saisonnier printemps-été.			reject
Tireuse à bière à fût type kegerator (homebar)	flippa									890					56	à valider (Semrush étape 5)			Niche homebar passion (fûts 20-50 L, 500-1300 EUR) quasi absente des grandes enseignes qui ne vendent que du 5 L ; sweet spot 600-900.			review
Machine à glace italienne professionnelle (comptoir, 1-3 parfums)	vevor									1290					35	à valider (Semrush étape 5)			Food-trucks/buvettes/familles festives ; Vevor 450-800 EUR vs marché pro ≥1300 EUR, aucune enseigne grand public en page 1 — écart de prix =			reject
Tente cloche coton 4-6 m spécial glamping (passage de poêle)	vevor									650					48	à valider (Semrush étape 5)			Glamping/hébergement insolite en boom ; Vevor 250-380 EUR vs 550-1000 EUR marché, zéro grande enseigne, upsell poêle/tapis — sweet spot 600-			reject
Poêle de sauna électrique 8 kW (inox, contrôleur intégré)	vevor									440					37	à valider (Semrush étape 5)			Vague sauna maison DIY ; Vevor 160-230 EUR vs 370-500 EUR équivalent Harvia — kit pierres/accessoires en upsell.			reject
Fumoir armoire à froid/chaud pour viande et poisson	vevor									320					32	à valider (Semrush étape 5)			Fumage maison très tendance ; page 1 = purs spécialistes sans GSB, Vevor 100-170 EUR vs 250-600 EUR marché.			reject
Rôtissoire méchoui électrique grande capacité (40-60 kg)	vevor									450					45	à valider (Semrush étape 5)			Achat émotion (méchoui, fêtes familiales/associatives, Aïd) ; concurrence = marketplaces et petits sites sans marque destination, Vevor 170-			reject
Machine à granité professionnelle 2 bacs (2x12 L)	vevor									1090					43	à valider (Semrush étape 5)			Complément estival de la glace italienne (buvettes, campings) ; vendeurs CHR faibles en page 1 à 899-2500 EUR, Vevor nettement en dessous.			reject
Tente de toit rigide à coque (2-3 places)	vevor									1790					22	à valider (Semrush étape 5)			Vanlife/micro-aventure, panier 1500-2250 EUR ; marge plus fine (Vevor déjà à 935-1387 EUR), Decathlon présent sans casser les prix.			reject
Bain froid avec groupe de refroidissement (cold plunge à chiller)	pinterest_trends									1400					47	à valider (Semrush étape 5)			Axe central Pinterest Predicts 2026 (self-preservation), thermothérapie à domicile ; jeunes marques FR (JOLT) sans enseigne dominante — fenê			reject
Meuble bar Art Déco noir et doré	pinterest_trends									1200					59	à valider (Semrush étape 5)			Pinterest Predicts 2026 « Neo Deco » (bar cart +100%) ; page 1 FR = diffusion déco + vintage, rupture de stock observée = demande.			review
Billot de boucher / îlot central en bois massif	pinterest_trends									890					58	à valider (Semrush étape 5)			Tendances « village kitchen » +825% / « grandma core » +545% ; fabricants-artisans FR en face, zéro grande enseigne, sweet spot 600-1200.			review
Grande jarre en terre cuite XXL style Anduze	pinterest_trends									390					48	à valider (Semrush étape 5)			Style « terrasse méditerranéenne » été 2026 ; ateliers-potiers en face, absent des grandes enseignes, logistique fragile/lourde à cadrer.			reject
Buffet industriel en bois de manguier massif (150 cm)	bigbuy									790					51	à valider (Semrush étape 5)			Meuble statement loft/industriel 650-1450 EUR, pure-players meubles en face sans Ikea/MDM ; stock EU Bigbuy (DKD Home Decor) confirmé.			reject
Statue décorative XXL en résine (animal design 95-130 cm)	bigbuy									790					69	à valider (Semrush étape 5)			Pièce déco coup de cœur 380-1200 EUR ; petits sites déco attaquables en page 1, format XXL introuvable Temu/Amazon, stock EU Bigbuy (DKD).			review
