produit	plateforme(s)	categorie	prix marche EUR	competitors_type	sells_in_search	sells_in_shopping	legal_eu	defendabilite niche	distinct_sources	score broyeur	decision	rejete par hard filter	flags	angle/notes	recommandation Hermes	raison courte
Rameur hydraulique professionnel eau et air	flippa	sport	660	semi_brands	true	true	true	partial	1	57	review		margin_ratio_missing	Sport maison/outdoor - Search fort (intention achat) + Shopping	données insuffisantes	score 57 margin manquante + signal faible
Cloison vegetale stabilisee panneau cadre metal noir	pinterest_trends	home	449	dropshippers_mixed	true	true	true	partial	1	57	review		margin_ratio_missing	Mobilier premium - decos - Shopping fort + retargeting	données insuffisantes	score 57 margin manquante + signal faible
Robot nettoyeur de piscine electrique sur fil	amazon_movers	garden	399	dropshippers_mixed	true	true	true	partial	2	56	review		margin_ratio_missing	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire	données insuffisantes	score 56 margin manquante + signal faible
Pompe a chaleur piscine 10kW silencieuse	cdiscount	equipment	899	semi_brands	true	false	true	yes	2	56	review		margin_ratio_missing	Equipement pro/semi-pro - Search fort (probleme/solution)	données insuffisantes	score 56 margin manquante + signal faible
Pergola alu autoportante bioclimatique 4x3m	cdiscount	garden	990	dropshippers_mixed	true	true	true	partial	2	56	review		margin_ratio_missing	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire	données insuffisantes	score 56 margin manquante + signal faible
Fontaine de jardin solaire cascade multi-niveaux	bigbuy	garden	289	dropshippers_weak_sites	true	true	true	partial	1	55	review		margin_ratio_missing	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire	données insuffisantes	score 55 margin manquante + signal faible
Kayak gonflable biplace avec pagaies	europages	outdoor	429	dropshippers_mixed	true	true	true	partial	1	54	reject		margin_ratio_missing	Loisirs outdoor - Search + Shopping - saisonnier risque	rejet évident	score 54 trop faible
Fumoir BBQ professionnel acier offset 120cm	vevor	garden	480	dropshippers_mixed	true	true	true	partial	1	54	reject		margin_ratio_missing	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire	rejet évident	score 54 trop faible
Cabine de douche hammam vapeur 90x90 integree	bigbuy	wellness	980	dropshippers_mixed	true	false	true	partial	2	53	reject		margin_ratio_missing	Bien-etre maison - audience 35-60 ans CSP+ - Shopping + Search	rejet évident	score 53 trop faible
Paddle gonflable pack complet 320cm	europages	outdoor	399	dropshippers_mixed	true	true	true	partial	2	53	reject		margin_ratio_missing	Loisirs outdoor - Search + Shopping - saisonnier risque	rejet évident	score 53 trop faible
Table de billard convertible 7 pieds avec housse	europages	home	950	dropshippers_mixed	true	false	true	yes	1	53	reject		margin_ratio_missing	Mobilier premium - decos - Shopping fort + retargeting	rejet évident	score 53 trop faible
Telescope astronomique go-to computerise refracteur	flippa	outdoor	489	semi_brands	true	true	true	partial	1	52	reject		margin_ratio_missing	Loisirs outdoor - Search + Shopping - saisonnier risque	rejet évident	score 52 trop faible
Table tennis exterieure intemperies tout temps	flippa	sport	469	semi_brands	true	true	true	partial	1	52	reject		margin_ratio_missing	Sport maison/outdoor - Search fort (intention achat) + Shopping	rejet évident	score 52 trop faible
Lit coffre 160x200 avec rangement tete de lit velours	bigbuy	home	649	semi_brands	true	true	true	partial	1	51	reject		margin_ratio_missing	Mobilier premium - decos - Shopping fort + retargeting	rejet évident	score 51 trop faible
Pouf geant XXL impermeabilise jardin et salon	bigbuy	garden	189	dropshippers_weak_sites	true	true	true	partial	1	51	reject		margin_ratio_missing	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire	rejet évident	score 51 trop faible
Abri de jardin metal 5x3m avec fenetre	europages	garden	699	semi_brands	true	true	true	partial	1	51	reject		margin_ratio_missing	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire	rejet évident	score 51 trop faible
Generateur solaire portable 1000W LiFePO4	vevor	equipment	720	semi_brands	true	true	true	partial	1	51	reject		margin_ratio_missing	Equipement pro/semi-pro - Search fort (probleme/solution)	rejet évident	score 51 trop faible
Presse hydraulique 20 tonnes atelier mecanique	vevor	equipment	459	few_or_none	true	false	true	yes	1	51	reject		margin_ratio_missing	Equipement pro/semi-pro - Search fort (probleme/solution)	rejet évident	score 51 trop faible
Extracteur de jus commercial centrifuge professionnel	vevor	equipment	519	few_or_none	true	false	true	yes	1	51	reject		margin_ratio_missing	Equipement pro/semi-pro - Search fort (probleme/solution)	rejet évident	score 51 trop faible
Alambic cuivre artisanal 10L distillateur plantes	vevor	equipment	340	few_or_none	true	false	true	yes	2	50	reject		margin_ratio_missing	Equipement pro/semi-pro - Search fort (probleme/solution)	rejet évident	score 50 trop faible
Tapis de course pliable motorise 3CV	amazon_movers	sport	549	semi_brands	true	true	true	partial	1	49	reject		margin_ratio_missing	Sport maison/outdoor - Search fort (intention achat) + Shopping	rejet évident	score 49 trop faible
Deshumidificateur industriel 50L par jour	vevor	equipment	380	dropshippers_mixed	true	true	true	partial	1	49	reject		margin_ratio_missing	Equipement pro/semi-pro - Search fort (probleme/solution)	rejet évident	score 49 trop faible
Nettoyeur vapeur professionnel multifonction 2200W	vevor	equipment	329	dropshippers_mixed	true	true	true	partial	1	49	reject		margin_ratio_missing	Equipement pro/semi-pro - Search fort (probleme/solution)	rejet évident	score 49 trop faible
Chaise longue bain de soleil teck massif double	cdiscount	garden	349	dropshippers_mixed	true	true	true	partial	1	49	reject		margin_ratio_missing	Jardin haut de gamme - printemps/ete fort - Shopping prioritaire	rejet évident	score 49 trop faible
Lit a eau waterbed king size double regulation	cdiscount	home	920	few_or_none	true	false	true	yes	1	49	reject		margin_ratio_missing	Mobilier premium - decos - Shopping fort + retargeting	rejet évident	score 49 trop faible
Compresseur d'air silent direct drive 50L	vevor	equipment	419	semi_brands	true	true	true	partial	1	46	reject		margin_ratio_missing	Equipement pro/semi-pro - Search fort (probleme/solution)	rejet évident	score 46 trop faible
Niche chien isolee thermique grande race XXL	temu	pet	259	dropshippers_mixed	true	true	true	partial	1	46	reject		margin_ratio_missing	Animal compagnie niche - Search fort - Shopping moyen	rejet évident	source temu - risque achat direct client
Jeu de flechettes electronique professionnel segment led	temu	other	299	dropshippers_mixed	true	true	true	partial	1	46	reject		margin_ratio_missing	Divertissement/jeux - Shopping + Search	rejet évident	source temu - risque achat direct client
Trampoline 366cm avec filet de securite et echelle	amazon_movers	outdoor	349	semi_brands	true	true	true	partial	1	44	reject		margin_ratio_missing	Loisirs outdoor - Search + Shopping - saisonnier risque	rejet évident	score 44 trop faible
Voliere interieure XXL pour perroquet africain	bigbuy	pet	389	few_or_none	true	false	true	partial	1	42	reject		margin_ratio_missing	Animal compagnie niche - Search fort - Shopping moyen	rejet évident	score 42 trop faible
Station meteo sans fil connectee pro 5 capteurs	temu	tech-niche	279	semi_brands	true	true	true	partial	1	38	reject		margin_ratio_missing	Tech niche - Search fort - risque commodity	rejet évident	source temu - risque achat direct client
Spa de nage mural contre-courant acier inox	cdiscount	wellness	1850	few_or_none	true	false	true	yes	1	36	reject		margin_ratio_missing	Bien-etre maison - audience 35-60 ans CSP+ - Shopping + Search	rejet évident	score 36 trop faible
